episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.03125,42,,,,0,10,7,18,,,7,19,6,19,,,6,11,8,1,,,3,18,5,1,,,9,3,0,14,,,0,9,9,1,,,6,16,4,0,,,1,10,5,0,,,5,10,3,11,,,9,17,1,1,,,7.0,1.0,9.0,11.0,,,,,,
1,60.03125,42,,,,8,0,0,7,,,6,10,9,3,,,3,14,9,0,,,8,19,3,0,,,5,19,6,9,,,3,19,0,19,,,4,0,7,10,,,2,0,6,17,,,0,10,3,9,,,6,0,9,16,,,9.0,6.0,9.0,7.0,,,,,,
2,60.03125,42,,,,6,14,6,15,,,8,0,9,11,,,7,18,9,16,,,1,9,3,15,,,3,10,3,5,,,4,9,9,9,,,4,19,0,8,,,0,5,8,9,,,5,19,1,1,,,0,17,4,1,,,7.0,9.0,0.0,15.0,,,,,,
3,60.03125,42,,,,6,15,6,17,,,4,10,0,11,,,3,6,3,4,,,2,0,7,19,,,6,1,8,10,,,6,13,9,1,,,9,13,3,12,,,3,18,9,8,,,0,18,3,1,,,9,0,2,1,,,6.0,9.0,0.0,16.0,,,,,,
4,60.046875,42,,,,9,0,6,0,,,1,10,4,1,,,8,10,5,0,,,0,0,6,1,,,8,9,0,4,,,8,1,0,16,,,8,0,2,9,,,6,13,0,13,,,4,9,3,18,,,6,17,6,11,,,3.0,0.0,9.0,3.0,,,,,,
5,60.078125,42,,,,6,1,3,8,,,0,9,3,18,,,7,18,9,17,,,6,2,1,18,,,6,9,3,0,,,6,0,3,15,,,0,10,9,19,,,8,9,9,2,,,3,3,0,4,,,6,5,2,1,,,0.0,3.0,8.0,19.0,,,,,,
6,60.03125,42,,,,0,6,9,19,,,9,3,6,13,,,3,0,3,15,,,9,10,3,16,,,3,2,8,18,,,3,18,3,5,,,6,12,0,19,,,0,14,3,6,,,6,0,0,2,,,5,0,0,12,,,8.0,0.0,0.0,10.0,,,,,,
7,60.015625,42,,,,7,19,0,19,,,6,19,3,12,,,6,16,2,1,,,4,1,3,2,,,0,18,6,15,,,9,8,6,9,,,5,0,6,6,,,9,12,3,9,,,0,17,9,15,,,4,19,0,10,,,3.0,19.0,3.0,7.0,,,,,,
8,0.375,42,22.0,16.0,15.0,3,7,6,19,16.0,15.0,9,15,8,1,16.0,15.0,3,10,4,0,11.0,10.0,9,9,7,1,3.0,2.0,4,19,2,19,15.0,14.0,6,17,0,9,15.0,14.0,4,1,0,11,3.0,2.0,2,18,3,19,15.0,14.0,7,18,9,8,16.0,15.0,9,16,0,14,,,,,,,22.0,21.0,0.0,13.0,8.0,0.0
9,60.03125,42,,,,4,0,0,2,,,6,17,7,10,,,1,10,4,19,,,6,19,6,12,,,3,3,3,18,,,8,10,6,8,,,6,3,0,16,,,5,19,0,10,,,1,0,6,11,,,4,1,0,9,,,9.0,3.0,3.0,16.0,,,,,,
