episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
0,60.484375,42,,,,0,20,13,1,,,15,28,1,16,,,11,28,0,21,,,6,28,8,14,,,6,27,19,24,,,18,15,14,15,,,0.0,19.0,15.0,14.0,,,,,,
1,60.578125,42,,,,13,29,6,12,,,16,1,1,11,,,7,15,19,13,,,0,29,15,29,,,17,29,11,15,,,7,1,6,20,,,7.0,12.0,17.0,14.0,,,,,,
2,61.046875,42,,,,9,14,0,14,,,6,29,18,15,,,7,1,17,15,,,1,22,3,0,,,0,21,11,0,,,10,0,1,7,,,19.0,4.0,15.0,1.0,,,,,,
3,60.625,42,,,,13,14,15,29,,,6,9,15,14,,,0,15,1,14,,,19,23,6,11,,,7,0,7,4,,,19,5,7,11,,,12.0,22.0,0.0,10.0,,,,,,
4,60.859375,42,,,,9,15,6,22,,,1,5,6,2,,,14,28,19,8,,,12,28,6,12,,,19,12,0,17,,,6,11,7,5,,,19.0,22.0,16.0,15.0,,,,,,
5,60.65625,42,,,,1,13,10,15,,,7,4,12,14,,,0,29,19,16,,,12,29,6,28,,,7,6,1,6,,,6,3,17,22,,,1.0,21.0,11.0,0.0,,,,,,
6,60.578125,42,,,,13,14,17,29,,,0,22,6,16,,,5,29,19,6,,,15,15,4,0,,,17,22,1,24,,,6,27,12,28,,,16.0,28.0,11.0,1.0,,,,,,
7,60.640625,42,,,,1,2,15,29,,,17,22,12,1,,,1,15,7,5,,,16,28,13,15,,,0,1,3,0,,,16,15,10,1,,,16.0,1.0,7.0,3.0,,,,,,
8,60.578125,42,,,,7,13,12,14,,,10,16,11,28,,,0,8,7,5,,,1,2,18,14,,,1,26,10,15,,,0,26,0,18,,,6.0,28.0,15.0,15.0,,,,,,
9,60.78125,42,,,,10,17,5,0,,,11,1,10,24,,,10,15,0,7,,,10,0,6,7,,,0,20,6,28,,,10,14,19,26,,,16.0,15.0,1.0,19.0,,,,,,
10,60.625,42,,,,3,0,0,13,,,6,21,3,1,,,19,28,19,11,,,18,14,4,1,,,0,7,6,27,,,1,23,12,0,,,17.0,14.0,0.0,28.0,,,,,,
11,60.71875,42,,,,10,1,17,0,,,7,13,6,1,,,16,0,1,8,,,19,29,6,4,,,12,1,0,5,,,6,21,0,24,,,6.0,23.0,0.0,20.0,,,,,,
12,27.453125,42,36.0,21.0,20.0,14,0,19,15,16.0,15.0,13,1,1,4,9.0,8.0,7,3,7,11,36.0,35.0,13,29,7,0,3.0,2.0,1,6,1,8,22.0,21.0,19,7,6,15,,,,,,,19.0,18.0,15.0,22.0,7.0,12.0
13,60.625,42,,,,1,24,0,20,,,5,0,6,6,,,12,28,0,27,,,11,0,6,5,,,10,25,19,21,,,6,10,6,11,,,19.0,20.0,19.0,9.0,,,,,,
14,60.8125,42,,,,7,11,1,29,,,13,14,13,29,,,7,2,16,1,,,2,0,7,0,,,15,15,14,15,,,19,22,2,29,,,15.0,29.0,0.0,18.0,,,,,,
15,60.984375,42,,,,0,22,14,0,,,7,0,5,1,,,19,7,16,29,,,0,29,10,18,,,7,2,9,15,,,13,15,1,10,,,1.0,16.0,7.0,4.0,,,,,,
16,60.65625,42,,,,18,15,5,1,,,0,4,10,29,,,15,1,1,2,,,7,10,10,19,,,13,29,0,21,,,12,0,11,22,,,6.0,26.0,0.0,19.0,,,,,,
17,60.65625,42,,,,15,1,6,3,,,6,23,12,0,,,16,1,1,3,,,0,9,12,22,,,1,11,0,23,,,7,11,1,10,,,1.0,13.0,10.0,20.0,,,,,,
18,60.5625,42,,,,16,14,6,7,,,1,9,10,26,,,4,29,10,21,,,19,12,4,1,,,19,27,0,5,,,10,19,1,4,,,7.0,0.0,19.0,20.0,,,,,,
19,60.8125,42,,,,6,23,7,9,,,7,8,12,14,,,7,4,7,10,,,16,0,6,29,,,0,14,19,15,,,0,18,1,6,,,3.0,0.0,10.0,16.0,,,,,,
20,60.984375,42,,,,9,14,18,1,,,7,6,6,28,,,16,28,3,29,,,2,1,0,4,,,19,19,6,11,,,6,3,17,15,,,8.0,1.0,0.0,2.0,,,,,,
21,61.21875,42,,,,19,6,12,1,,,9,14,12,14,,,1,2,0,27,,,5,0,3,1,,,10,0,1,25,,,6,0,12,0,,,0.0,24.0,14.0,14.0,,,,,,
22,60.359375,42,,,,14,1,19,24,,,19,15,1,22,,,15,22,1,24,,,6,1,0,8,,,0,24,1,2,,,10,26,10,1,,,19.0,10.0,9.0,15.0,,,,,,
23,60.734375,42,,,,6,12,1,16,,,5,1,19,19,,,17,22,11,1,,,7,3,4,0,,,16,29,10,28,,,19,21,7,15,,,6.0,0.0,19.0,8.0,,,,,,
24,60.34375,42,,,,1,28,4,29,,,19,28,6,27,,,19,15,19,22,,,1,11,1,4,,,1,7,19,5,,,9,0,0,20,,,0.0,10.0,14.0,29.0,,,,,,
25,60.609375,42,,,,18,0,6,0,,,19,4,0,5,,,1,21,15,22,,,19,5,6,4,,,0,26,12,0,,,8,0,6,21,,,7.0,5.0,6.0,13.0,,,,,,
26,60.78125,42,,,,19,3,19,15,,,0,21,19,18,,,14,15,1,25,,,14,29,0,7,,,6,15,0,28,,,2,0,0,15,,,0.0,1.0,17.0,22.0,,,,,,
27,60.53125,42,,,,19,5,19,1,,,1,5,0,10,,,14,29,1,14,,,1,11,3,1,,,6,12,5,29,,,10,23,19,29,,,13.0,29.0,15.0,29.0,,,,,,
28,60.5625,42,,,,6,1,1,9,,,19,23,1,22,,,7,12,3,0,,,6,27,1,0,,,1,2,0,4,,,19,14,12,22,,,0.0,3.0,19.0,22.0,,,,,,
29,60.484375,42,,,,0,27,6,23,,,4,1,1,15,,,7,13,18,28,,,19,13,16,28,,,13,0,0,5,,,15,15,13,28,,,10.0,19.0,0.0,19.0,,,,,,
